Ticker,ATR,Reason,Side,ATR(x),ATR Used,Risk,Position,Position(R),Entry Price,STOP LOSS PRICE,Exit Price,Entry Date,Exit Date,Realized R,Realized gains,Curncy,,Day 2 Date,Day 2 High,Day 2 Low,Day 2 Open,Day 2 Close,Day 3 Date,Day 3 High,Day 3 low,Day 3 open,Day 3 close,Day 4 Date,Day 4 High,Day 4 low,Day 4 open,Day 4 close,Day 5 Date,Day 5 High,Day 5 low,Day 5 open,Day 5 close
PLTR US Equity,4.37,TA,long,1,4.37,2500,572.61,572,34,29.63,31.02,01/28/2021,02/02/2021,-0.68,-1704.56,USD,,1/29/2021,38.01,38.01,36.61,35.18,2/1/2021,35.6199,35.6199,35.33,33.96,2/2/2021,34.2,34.2,34.1,31.02,2/3/2021,32.95,32.95,32.39,31.76
AG US Equity,1.47,SEC+,long,3,4.41,2000,453.51,500,23.59,19.18,21.42,02/01/2021,12/01/2021,-0.54,-1087.25,USD,,2/2/2021,18.35,18.35,18.16,16.76,2/3/2021,17.2701,17.2701,17.04,16.38,2/4/2021,16.45,16.45,15.23,16.11,2/5/2021,16.72,16.72,16.4,16.5
PYPL US Equity,11.44,QR+,long,2,22.87,2500,109.29,109,267.76,244.89,285.03,02/04/2021,02/11/2021,0.75,1881.97,USD,,2/5/2021,270,270,268.61,269.44,2/8/2021,282.6989,282.6989,276.88,282.17,2/9/2021,286.89,286.89,280.38,284.2,2/10/2021,286.08,286.08,285.1,283.18
SHOP US Equity,55.71,BR+(vec),long,2,111.43,3000,26.92,27,1235.35,1123.92,1463.31,02/03/2021,02/11/2021,2.05,6154.92,USD,,2/4/2021,1281.65,1281.65,1241.27,1260.87,2/5/2021,1296.775,1296.775,1261.49,1287.75,2/8/2021,1348.255,1348.255,1303.86,1345.09,2/9/2021,1453.49,1453.49,1365.53,1432.99
UPS US Equity,3.69,2dt,long,1.5,5.54,2500,451.18,451,160.83,155.29,163.45,02/03/2021,02/11/2021,0.47,1181.62,USD,,2/4/2021,162.41,162.41,159.23,162.26,2/5/2021,164.54,164.54,163,164.38,2/8/2021,165.4699,165.4699,164.44,163.45,2/9/2021,167.5955,167.5955,163.5,166.92
SFTBY US Equity,1.23,AH+,long,2,2.46,3000,1219.51,1219,40.4,37.94,47.4,01/28/2021,02/11/2021,2.84,8533.37,USD,,1/29/2021,39.47,39.47,39.3675,38.91,2/1/2021,40.86,40.86,39.98,40.78,2/2/2021,40.86,40.86,40.86,40.24,2/3/2021,41.9,41.9,41.5,41.61
TSLA US Equity,40.72,AH+,long,1.5,61.08,3000,49.12,50,863,801.92,811.66,02/08/2021,02/11/2021,-0.86,-2567,USD,,2/9/2021,859.8,859.8,855.12,849.46,2/10/2021,844.82,844.82,843.635,804.82,2/11/2021,829.8799,829.8799,812.44,811.66,2/12/2021,817.33,817.33,801.26,816.12
AAPL US Equity,4.16,QR+,long,1,4.16,2000,480.35,500,139.53,135.37,130.55,01/28/2021,02/17/2021,-2.25,-4492.3,USD,,1/29/2021,136.74,136.74,135.83,131.96,2/1/2021,135.38,135.38,133.75,134.14,2/2/2021,136.31,136.31,135.73,134.99,2/3/2021,135.77,135.77,135.76,133.94
AMD US Equity,3.41,QR+,long,1,3.41,2000,587.16,600,89.79,86.38,92.66,01/28/2021,02/11/2021,0.86,1721.46,USD,,1/29/2021,88.33,88.33,87.56,85.64,2/1/2021,87.95,87.95,86.83,87.66,2/2/2021,89.28,89.28,88.49,88.86,2/3/2021,89.48,89.48,88.6,87.89
DELL US Equity,2,BR+(GS),long,2,4,2000,500,500,77.5,73.5,79.5,02/02/2021,02/11/2021,0.5,1000,USD,,2/3/2021,78.33,78.33,76.75,77.75,2/4/2021,79.34,79.34,78.17,79.31,2/5/2021,80.08,80.08,79.5,79.61,2/8/2021,80.71,80.71,80,79.94
